Name,SSN,Salary,Address,Dname,Experience
Harshith ,5000,30000,bangalore,ISE,5
Pavan,5002,60000,bangalore,CSE,6
Raghav,5003,30000,dharwad,ISE,6
Gaurav,5004,10000,mangalore,ISE,4
Abhay,5005,90000,kota,ISE,3
Alister,5006,80000,hubli,CSE,2
Nandan,5007,70000,bangalore,EC,1
Ashish,5008,60000,udupi,ISE,5
Chandan,5009,50000,mangalore,CSE,5
Chirag,5010,40000,dharwad,CSE,6
Dharni,5011,30000,bangalore,ISE,7
Rakshith,5012,20000,udupi,EC,6
Hemanth,5013,10000,bangalore,EC,4
Shreyas,5014,90000,mangalore,ISE,3
Ankush,5015,80000,bangalore,CSE,3
Prashul,5016,70000,udupi,ISE,6
Dhanush,5017,60000,bangalore,ISE,5
Vinay,5018,50000,udupi,CSE,3
Arjun,5019,30000,bangalore,EC,5
Varchas,5020,40000,udupi,ISE,7
